央视频道,#genre#
山东卫视21,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225738/2/index.m3u8
山东卫视22,http://[2409:8087:4400:20:1:a0f:11:9]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226564/index.m3u8
山东卫视23,http://222.71.90.218:8888/newlive/live/hls/26/live.m3u8
山东卫视24,http://59.47.226.94:8880/sql/2615/hls.m3u8
山东卫视25,https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000
山东卫视26,http://221.213.43.82:8888/newlive/live/hls/30/live.m3u8
山东卫视27,http://222.71.90.218:8888/newlive/live/hls/26/live.m3u8
山东卫视28,http://59.47.226.94:8880/sql/2615/hls.m3u8
山东卫视29,https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000
山东卫视30,http://221.213.43.82:8888/newlive/live/hls/30/live.m3u8
山东卫视31,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001028/index.m3u8
山东卫视32,http://39.134.66.110/PLTV/88888888/224/3221225952/index.m3u8
山东卫视33,http://cyz32.livehbindex.hbcatv.cn/live/5000002013f84d40a0393b8549e48805.m3u8?bitrate=2300&pt=5
山东卫视34,http://api2.52tb.xyz/info?id=30&token=20230326xflvzc
山东卫视35,http://117.148.179.137/PLTV/88888888/224/3221227909/index.m3u8
山东卫视36,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山东卫视37,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
山东卫视38,http://39.136.66.39/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225728/1/index.m3u8?fmt=ts2hls
山东卫视39,http://140.207.241.3:8080/live/program/live/sdwshd/4000000/mnf.m3u8
山东卫视40,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8
山东卫视41,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/sdwshd/4000000/mnf.m3u8
山东卫视42,http://iptv.tvfix.org/hls/sdhd.m3u8
山东卫视43,http://113.87.48.183:808/hls/33/index.m3u8


